day,room_id,time_interval,energy_usage
1,101,6am-12pm,74
1,101,12pm-6pm,38
1,101,6pm-12am,99
1,101,12am-6am,92
1,102,6am-12pm,30
1,102,12pm-6pm,96
1,102,6pm-12am,54
1,102,12am-6am,43
1,103,6am-12pm,70
1,103,12pm-6pm,46
1,103,6pm-12am,73
1,103,12am-6am,78
1,104,6am-12pm,70
1,104,12pm-6pm,68
1,104,6pm-12am,70
1,104,12am-6am,40
1,105,6am-12pm,41
1,105,12pm-6pm,72
1,105,6pm-12am,56
1,105,12am-6am,91
1,106,6am-12pm,53
1,106,12pm-6pm,66
1,106,6pm-12am,56
1,106,12am-6am,63
1,107,6am-12pm,44
1,107,12pm-6pm,79
1,107,6pm-12am,78
1,107,12am-6am,65
1,108,6am-12pm,69
1,108,12pm-6pm,92
1,108,6pm-12am,81
1,108,12am-6am,38
1,109,6am-12pm,71
1,109,12pm-6pm,76
1,109,6pm-12am,37
1,109,12am-6am,91
1,110,6am-12pm,94
1,110,12pm-6pm,86
1,110,6pm-12am,82
1,110,12am-6am,69
1,111,6am-12pm,88
1,111,12pm-6pm,51
1,111,6pm-12am,33
1,111,12am-6am,61
1,112,6am-12pm,88
1,112,12pm-6pm,38
1,112,6pm-12am,70
1,112,12am-6am,92
1,113,6am-12pm,32
1,113,12pm-6pm,78
1,113,6pm-12am,53
1,113,12am-6am,45
1,114,6am-12pm,65
1,114,12pm-6pm,84
1,114,6pm-12am,64
1,114,12am-6am,77
1,115,6am-12pm,46
1,115,12pm-6pm,89
1,115,6pm-12am,76
1,115,12am-6am,93
1,116,6am-12pm,56
1,116,12pm-6pm,100
1,116,6pm-12am,34
1,116,12am-6am,58
1,117,6am-12pm,71
1,117,12pm-6pm,39
1,117,6pm-12am,46
1,117,12am-6am,45
1,118,6am-12pm,80
1,118,12pm-6pm,89
1,118,6pm-12am,73
1,118,12am-6am,86
1,119,6am-12pm,67
1,119,12pm-6pm,46
1,119,6pm-12am,50
1,119,12am-6am,47
1,120,6am-12pm,35
1,120,12pm-6pm,81
1,120,6pm-12am,82
1,120,12am-6am,69
1,121,6am-12pm,33
1,121,12pm-6pm,77
1,121,6pm-12am,55
1,121,12am-6am,72
1,122,6am-12pm,35
1,122,12pm-6pm,87
1,122,6pm-12am,38
1,122,12am-6am,46
1,123,6am-12pm,52
1,123,12pm-6pm,52
1,123,6pm-12am,98
1,123,12am-6am,78
1,124,6am-12pm,100
1,124,12pm-6pm,60
1,124,6pm-12am,97
1,124,12am-6am,56
1,125,6am-12pm,92
1,125,12pm-6pm,46
1,125,6pm-12am,86
1,125,12am-6am,97
1,126,6am-12pm,95
1,126,12pm-6pm,75
1,126,6pm-12am,34
1,126,12am-6am,72
1,127,6am-12pm,82
1,127,12pm-6pm,64
1,127,6pm-12am,92
1,127,12am-6am,52
1,128,6am-12pm,79
1,128,12pm-6pm,78
1,128,6pm-12am,42
1,128,12am-6am,62
1,129,6am-12pm,36
1,129,12pm-6pm,75
1,129,6pm-12am,39
1,129,12am-6am,47
1,130,6am-12pm,82
1,130,12pm-6pm,71
1,130,6pm-12am,79
1,130,12am-6am,64
1,131,6am-12pm,65
1,131,12pm-6pm,92
1,131,6pm-12am,46
1,131,12am-6am,64
1,132,6am-12pm,95
1,132,12pm-6pm,69
1,132,6pm-12am,61
1,132,12am-6am,92
1,133,6am-12pm,33
1,133,12pm-6pm,83
1,133,6pm-12am,57
1,133,12am-6am,86
1,134,6am-12pm,93
1,134,12pm-6pm,35
1,134,6pm-12am,89
1,134,12am-6am,35
1,135,6am-12pm,39
1,135,12pm-6pm,92
1,135,6pm-12am,36
1,135,12am-6am,66
1,136,6am-12pm,69
1,136,12pm-6pm,88
1,136,6pm-12am,57
1,136,12am-6am,55
1,137,6am-12pm,59
1,137,12pm-6pm,44
1,137,6pm-12am,66
1,137,12am-6am,65
1,138,6am-12pm,33
1,138,12pm-6pm,88
1,138,6pm-12am,90
1,138,12am-6am,79
1,139,6am-12pm,65
1,139,12pm-6pm,66
1,139,6pm-12am,97
1,139,12am-6am,86
1,140,6am-12pm,55
1,140,12pm-6pm,30
1,140,6pm-12am,44
1,140,12am-6am,57
1,141,6am-12pm,32
1,141,12pm-6pm,58
1,141,6pm-12am,87
1,141,12am-6am,44
1,142,6am-12pm,46
1,142,12pm-6pm,99
1,142,6pm-12am,87
1,142,12am-6am,86
1,143,6am-12pm,30
1,143,12pm-6pm,87
1,143,6pm-12am,54
1,143,12am-6am,31
1,144,6am-12pm,51
1,144,12pm-6pm,53
1,144,6pm-12am,44
1,144,12am-6am,98
1,145,6am-12pm,54
1,145,12pm-6pm,41
1,145,6pm-12am,94
1,145,12am-6am,45
1,146,6am-12pm,67
1,146,12pm-6pm,40
1,146,6pm-12am,89
1,146,12am-6am,90
1,147,6am-12pm,59
1,147,12pm-6pm,83
1,147,6pm-12am,78
1,147,12am-6am,45
1,148,6am-12pm,52
1,148,12pm-6pm,88
1,148,6pm-12am,58
1,148,12am-6am,71
1,149,6am-12pm,64
1,149,12pm-6pm,90
1,149,6pm-12am,31
1,149,12am-6am,33
1,150,6am-12pm,89
1,150,12pm-6pm,83
1,150,6pm-12am,49
1,150,12am-6am,95
1,151,6am-12pm,92
1,151,12pm-6pm,78
1,151,6pm-12am,47
1,151,12am-6am,72
1,152,6am-12pm,65
1,152,12pm-6pm,40
1,152,6pm-12am,64
1,152,12am-6am,33
1,153,6am-12pm,44
1,153,12pm-6pm,88
1,153,6pm-12am,72
1,153,12am-6am,48
1,154,6am-12pm,62
1,154,12pm-6pm,47
1,154,6pm-12am,31
1,154,12am-6am,81
1,155,6am-12pm,54
1,155,12pm-6pm,49
1,155,6pm-12am,60
1,155,12am-6am,85
1,156,6am-12pm,31
1,156,12pm-6pm,96
1,156,6pm-12am,94
1,156,12am-6am,71
1,157,6am-12pm,97
1,157,12pm-6pm,75
1,157,6pm-12am,75
1,157,12am-6am,87
1,158,6am-12pm,66
1,158,12pm-6pm,32
1,158,6pm-12am,67
1,158,12am-6am,50
1,159,6am-12pm,59
1,159,12pm-6pm,43
1,159,6pm-12am,42
1,159,12am-6am,32
1,160,6am-12pm,92
1,160,12pm-6pm,67
1,160,6pm-12am,52
1,160,12am-6am,31
1,161,6am-12pm,52
1,161,12pm-6pm,97
1,161,6pm-12am,43
1,161,12am-6am,77
1,162,6am-12pm,78
1,162,12pm-6pm,43
1,162,6pm-12am,74
1,162,12am-6am,42
1,163,6am-12pm,82
1,163,12pm-6pm,73
1,163,6pm-12am,68
1,163,12am-6am,73
1,164,6am-12pm,74
1,164,12pm-6pm,36
1,164,6pm-12am,99
1,164,12am-6am,31
1,165,6am-12pm,69
1,165,12pm-6pm,44
1,165,6pm-12am,62
1,165,12am-6am,95
1,166,6am-12pm,100
1,166,12pm-6pm,88
1,166,6pm-12am,41
1,166,12am-6am,99
1,167,6am-12pm,75
1,167,12pm-6pm,93
1,167,6pm-12am,97
1,167,12am-6am,30
1,168,6am-12pm,68
1,168,12pm-6pm,93
1,168,6pm-12am,83
1,168,12am-6am,33
1,169,6am-12pm,32
1,169,12pm-6pm,90
1,169,6pm-12am,68
1,169,12am-6am,57
1,170,6am-12pm,52
1,170,12pm-6pm,87
1,170,6pm-12am,39
1,170,12am-6am,97
1,171,6am-12pm,37
1,171,12pm-6pm,66
1,171,6pm-12am,45
1,171,12am-6am,89
1,172,6am-12pm,38
1,172,12pm-6pm,93
1,172,6pm-12am,40
1,172,12am-6am,31
1,173,6am-12pm,68
1,173,12pm-6pm,93
1,173,6pm-12am,67
1,173,12am-6am,80
1,174,6am-12pm,30
1,174,12pm-6pm,83
1,174,6pm-12am,90
1,174,12am-6am,93
1,175,6am-12pm,76
1,175,12pm-6pm,62
1,175,6pm-12am,89
1,175,12am-6am,99
1,176,6am-12pm,68
1,176,12pm-6pm,50
1,176,6pm-12am,98
1,176,12am-6am,87
1,177,6am-12pm,43
1,177,12pm-6pm,33
1,177,6pm-12am,78
1,177,12am-6am,97
1,178,6am-12pm,79
1,178,12pm-6pm,97
