day,room_id,time_interval,energy_usage
1,101,6am-12pm,92
1,101,12pm-6pm,34
1,101,6pm-12am,69
1,101,12am-6am,35
1,102,6am-12pm,82
1,102,12pm-6pm,44
1,102,6pm-12am,67
1,102,12am-6am,96
1,103,6am-12pm,73
1,103,12pm-6pm,36
1,103,6pm-12am,93
1,103,12am-6am,91
1,104,6am-12pm,70
1,104,12pm-6pm,66
1,104,6pm-12am,44
1,104,12am-6am,34
1,105,6am-12pm,98
1,105,12pm-6pm,55
1,105,6pm-12am,87
1,105,12am-6am,36
1,106,6am-12pm,94
1,106,12pm-6pm,89
1,106,6pm-12am,43
1,106,12am-6am,45
1,107,6am-12pm,66
1,107,12pm-6pm,48
1,107,6pm-12am,73
1,107,12am-6am,65
1,108,6am-12pm,63
1,108,12pm-6pm,72
1,108,6pm-12am,93
1,108,12am-6am,58
1,109,6am-12pm,61
1,109,12pm-6pm,35
1,109,6pm-12am,31
1,109,12am-6am,54
1,110,6am-12pm,67
1,110,12pm-6pm,86
1,110,6pm-12am,82
1,110,12am-6am,83
1,111,6am-12pm,99
1,111,12pm-6pm,62
1,111,6pm-12am,44
1,111,12am-6am,60
1,112,6am-12pm,89
1,112,12pm-6pm,96
1,112,6pm-12am,67
1,112,12am-6am,52
1,113,6am-12pm,87
1,113,12pm-6pm,74
1,113,6pm-12am,48
1,113,12am-6am,79
1,114,6am-12pm,31
1,114,12pm-6pm,62
1,114,6pm-12am,37
1,114,12am-6am,78
1,115,6am-12pm,73
1,115,12pm-6pm,75
1,115,6pm-12am,53
1,115,12am-6am,70
1,116,6am-12pm,44
1,116,12pm-6pm,30
1,116,6pm-12am,47
1,116,12am-6am,32
1,117,6am-12pm,72
1,117,12pm-6pm,71
1,117,6pm-12am,31
1,117,12am-6am,75
1,118,6am-12pm,78
1,118,12pm-6pm,76
1,118,6pm-12am,58
1,118,12am-6am,61
1,119,6am-12pm,82
1,119,12pm-6pm,93
1,119,6pm-12am,82
1,119,12am-6am,72
1,120,6am-12pm,95
1,120,12pm-6pm,90
1,120,6pm-12am,93
1,120,12am-6am,93
1,121,6am-12pm,87
1,121,12pm-6pm,85
1,121,6pm-12am,31
1,121,12am-6am,68
1,122,6am-12pm,48
1,122,12pm-6pm,65
1,122,6pm-12am,66
1,122,12am-6am,51
1,123,6am-12pm,67
1,123,12pm-6pm,32
1,123,6pm-12am,60
1,123,12am-6am,73
1,124,6am-12pm,52
1,124,12pm-6pm,94
1,124,6pm-12am,36
1,124,12am-6am,55
1,125,6am-12pm,34
1,125,12pm-6pm,94
1,125,6pm-12am,77
1,125,12am-6am,51
1,126,6am-12pm,50
1,126,12pm-6pm,75
1,126,6pm-12am,70
1,126,12am-6am,85
1,127,6am-12pm,55
1,127,12pm-6pm,56
1,127,6pm-12am,83
1,127,12am-6am,77
1,128,6am-12pm,84
1,128,12pm-6pm,41
1,128,6pm-12am,75
1,128,12am-6am,96
1,129,6am-12pm,77
1,129,12pm-6pm,74
1,129,6pm-12am,46
1,129,12am-6am,100
1,130,6am-12pm,93
1,130,12pm-6pm,38
1,130,6pm-12am,82
1,130,12am-6am,58
1,131,6am-12pm,43
1,131,12pm-6pm,85
1,131,6pm-12am,49
1,131,12am-6am,33
1,132,6am-12pm,74
1,132,12pm-6pm,32
1,132,6pm-12am,49
1,132,12am-6am,93
1,133,6am-12pm,58
1,133,12pm-6pm,36
1,133,6pm-12am,44
1,133,12am-6am,63
1,134,6am-12pm,69
1,134,12pm-6pm,88
1,134,6pm-12am,77
1,134,12am-6am,44
1,135,6am-12pm,31
1,135,12pm-6pm,80
1,135,6pm-12am,30
1,135,12am-6am,31
1,136,6am-12pm,94
1,136,12pm-6pm,87
1,136,6pm-12am,37
1,136,12am-6am,40
1,137,6am-12pm,50
1,137,12pm-6pm,53
1,137,6pm-12am,89
1,137,12am-6am,40
1,138,6am-12pm,89
1,138,12pm-6pm,83
1,138,6pm-12am,39
1,138,12am-6am,54
1,139,6am-12pm,84
1,139,12pm-6pm,97
1,139,6pm-12am,81
1,139,12am-6am,67
1,140,6am-12pm,60
1,140,12pm-6pm,73
1,140,6pm-12am,38
1,140,12am-6am,62
1,141,6am-12pm,47
1,141,12pm-6pm,85
1,141,6pm-12am,86
1,141,12am-6am,89
1,142,6am-12pm,91
1,142,12pm-6pm,65
1,142,6pm-12am,82
1,142,12am-6am,44
1,143,6am-12pm,99
1,143,12pm-6pm,56
1,143,6pm-12am,37
1,143,12am-6am,54
1,144,6am-12pm,63
1,144,12pm-6pm,67
1,144,6pm-12am,42
1,144,12am-6am,62
1,145,6am-12pm,100
1,145,12pm-6pm,40
1,145,6pm-12am,58
1,145,12am-6am,50
1,146,6am-12pm,77
1,146,12pm-6pm,76
1,146,6pm-12am,45
1,146,12am-6am,39
1,147,6am-12pm,88
1,147,12pm-6pm,88
1,147,6pm-12am,91
1,147,12am-6am,62
1,148,6am-12pm,58
1,148,12pm-6pm,96
1,148,6pm-12am,86
1,148,12am-6am,91
1,149,6am-12pm,100
1,149,12pm-6pm,46
1,149,6pm-12am,39
1,149,12am-6am,36
1,150,6am-12pm,80
1,150,12pm-6pm,42
1,150,6pm-12am,92
1,150,12am-6am,55
1,151,6am-12pm,90
1,151,12pm-6pm,30
1,151,6pm-12am,31
1,151,12am-6am,80
1,152,6am-12pm,80
1,152,12pm-6pm,63
1,152,6pm-12am,71
1,152,12am-6am,68
1,153,6am-12pm,43
1,153,12pm-6pm,81
1,153,6pm-12am,72
1,153,12am-6am,65
1,154,6am-12pm,78
1,154,12pm-6pm,35
1,154,6pm-12am,78
1,154,12am-6am,41
1,155,6am-12pm,75
1,155,12pm-6pm,63
1,155,6pm-12am,51
1,155,12am-6am,52
1,156,6am-12pm,72
1,156,12pm-6pm,68
1,156,6pm-12am,90
1,156,12am-6am,56
1,157,6am-12pm,83
1,157,12pm-6pm,75
1,157,6pm-12am,76
1,157,12am-6am,85
1,158,6am-12pm,92
1,158,12pm-6pm,93
1,158,6pm-12am,72
1,158,12am-6am,84
1,159,6am-12pm,91
1,159,12pm-6pm,36
1,159,6pm-12am,93
1,159,12am-6am,32
1,160,6am-12pm,72
1,160,12pm-6pm,91
1,160,6pm-12am,90
1,160,12am-6am,72
1,161,6am-12pm,73
1,161,12pm-6pm,36
1,161,6pm-12am,82
1,161,12am-6am,88
1,162,6am-12pm,35
1,162,12pm-6pm,62
1,162,6pm-12am,77
1,162,12am-6am,79
1,163,6am-12pm,36
1,163,12pm-6pm,57
1,163,6pm-12am,58
1,163,12am-6am,71
1,164,6am-12pm,76
1,164,12pm-6pm,85
1,164,6pm-12am,77
1,164,12am-6am,40
1,165,6am-12pm,73
1,165,12pm-6pm,31
1,165,6pm-12am,48
1,165,12am-6am,60
1,166,6am-12pm,66
1,166,12pm-6pm,45
1,166,6pm-12am,52
1,166,12am-6am,76
1,167,6am-12pm,97
1,167,12pm-6pm,51
1,167,6pm-12am,80
1,167,12am-6am,72
1,168,6am-12pm,81
1,168,12pm-6pm,64
1,168,6pm-12am,81
1,168,12am-6am,90
1,169,6am-12pm,76
1,169,12pm-6pm,44
1,169,6pm-12am,76
1,169,12am-6am,63
1,170,6am-12pm,56
1,170,12pm-6pm,30
1,170,6pm-12am,81
1,170,12am-6am,76
1,171,6am-12pm,34
1,171,12pm-6pm,59
1,171,6pm-12am,41
1,171,12am-6am,57
1,172,6am-12pm,59
1,172,12pm-6pm,71
1,172,6pm-12am,74
1,172,12am-6am,77
1,173,6am-12pm,90
1,173,12pm-6pm,47
1,173,6pm-12am,42
1,173,12am-6am,77
1,174,6am-12pm,45
1,174,12pm-6pm,42
1,174,6pm-12am,58
1,174,12am-6am,49
1,175,6am-12pm,47
1,175,12pm-6pm,85
1,175,6pm-12am,46
1,175,12am-6am,92
1,176,6am-12pm,86
1,176,12pm-6pm,97
1,176,6pm-12am,49
1,176,12am-6am,91
1,177,6am-12pm,76
1,177,12pm-6pm,67
1,177,6pm-12am,35
1,177,12am-6am,53
1,178,6am-12pm,58
1,178,12pm-6pm,89
1,178,6pm-12am,87
1,178,12am-6am,47
1,179,6am-12pm,78
1,179,12pm-6pm,72
1,179,6pm-12am,38
1,179,12am-6am,63
1,180,6am-12pm,97
1,180,12pm-6pm,33
1,180,6pm-12am,75
1,180,12am-6am,90
1,181,6am-12pm,67
1,181,12pm-6pm,74
1,181,6pm-12am,100
1,181,12am-6am,97
1,182,6am-12pm,93
1,182,12pm-6pm,78
1,182,6pm-12am,50
1,182,12am-6am,35
1,183,6am-12pm,43
1,183,12pm-6pm,33
1,183,6pm-12am,35
1,183,12am-6am,75
1,184,6am-12pm,71
1,184,12pm-6pm,47
1,184,6pm-12am,40
1,184,12am-6am,38
1,185,6am-12pm,84
1,185,12pm-6pm,86
1,185,6pm-12am,78
1,185,12am-6am,56
1,186,6am-12pm,66
1,186,12pm-6pm,68
1,186,6pm-12am,94
1,186,12am-6am,89
1,187,6am-12pm,75
1,187,12pm-6pm,80
1,187,6pm-12am,82
1,187,12am-6am,85
1,188,6am-12pm,48
1,188,12pm-6pm,54
1,188,6pm-12am,90
1,188,12am-6am,74
1,189,6am-12pm,81
1,189,12pm-6pm,97
1,189,6pm-12am,50
1,189,12am-6am,99
1,190,6am-12pm,45
1,190,12pm-6pm,38
1,190,6pm-12am,60
1,190,12am-6am,93
1,191,6am-12pm,64
1,191,12pm-6pm,79
1,191,6pm-12am,48
1,191,12am-6am,79
1,192,6am-12pm,34
1,192,12pm-6pm,45
1,192,6pm-12am,100
1,192,12am-6am,84
1,193,6am-12pm,51
1,193,12pm-6pm,44
1,193,6pm-12am,49
1,193,12am-6am,99
1,194,6am-12pm,66
1,194,12pm-6pm,59
1,194,6pm-12am,54
1,194,12am-6am,47
1,195,6am-12pm,76
1,195,12pm-6pm,32
1,195,6pm-12am,36
1,195,12am-6am,35
1,196,6am-12pm,41
1,196,12pm-6pm,71
1,196,6pm-12am,94
1,196,12am-6am,65
1,197,6am-12pm,50
1,197,12pm-6pm,41
1,197,6pm-12am,83
1,197,12am-6am,55
1,198,6am-12pm,75
1,198,12pm-6pm,64
1,198,6pm-12am,100
1,198,12am-6am,100
1,199,6am-12pm,49
1,199,12pm-6pm,62
1,199,6pm-12am,76
1,199,12am-6am,76
1,200,6am-12pm,56
1,200,12pm-6pm,49
1,200,6pm-12am,90
1,200,12am-6am,40
2,101,6am-12pm,53
2,101,12pm-6pm,81
2,101,6pm-12am,92
2,101,12am-6am,79
2,102,6am-12pm,77
2,102,12pm-6pm,55
2,102,6pm-12am,62
2,102,12am-6am,34
2,103,6am-12pm,68
2,103,12pm-6pm,75
2,103,6pm-12am,70
2,103,12am-6am,58
2,104,6am-12pm,51
2,104,12pm-6pm,73
2,104,6pm-12am,71
2,104,12am-6am,100
2,105,6am-12pm,64
2,105,12pm-6pm,59
2,105,6pm-12am,52
2,105,12am-6am,57
2,106,6am-12pm,49
2,106,12pm-6pm,56
2,106,6pm-12am,47
2,106,12am-6am,86
2,107,6am-12pm,40
2,107,12pm-6pm,57
2,107,6pm-12am,66
2,107,12am-6am,82
2,108,6am-12pm,96
2,108,12pm-6pm,77
2,108,6pm-12am,58
2,108,12am-6am,51
2,109,6am-12pm,87
2,109,12pm-6pm,48
2,109,6pm-12am,96
2,109,12am-6am,71
2,110,6am-12pm,69
2,110,12pm-6pm,84
2,110,6pm-12am,94
2,110,12am-6am,73
2,111,6am-12pm,92
2,111,12pm-6pm,31
2,111,6pm-12am,53
2,111,12am-6am,81
2,112,6am-12pm,87
2,112,12pm-6pm,82
2,112,6pm-12am,69
2,112,12am-6am,62
2,113,6am-12pm,44
2,113,12pm-6pm,44
2,113,6pm-12am,90
2,113,12am-6am,85
2,114,6am-12pm,61
2,114,12pm-6pm,61
2,114,6pm-12am,30
2,114,12am-6am,68
2,115,6am-12pm,62
2,115,12pm-6pm,65
2,115,6pm-12am,55
2,115,12am-6am,55
2,116,6am-12pm,71
2,116,12pm-6pm,89
2,116,6pm-12am,68
2,116,12am-6am,73
2,117,6am-12pm,68
2,117,12pm-6pm,55
2,117,6pm-12am,91
2,117,12am-6am,75
2,118,6am-12pm,91
2,118,12pm-6pm,82
2,118,6pm-12am,93
2,118,12am-6am,75
2,119,6am-12pm,36
2,119,12pm-6pm,99
2,119,6pm-12am,39
