day,room_id,time_interval,energy_usage
1,101,6am-12pm,80
1,101,12pm-6pm,71
1,101,6pm-12am,66
1,101,12am-6am,97
1,102,6am-12pm,46
1,102,12pm-6pm,35
1,102,6pm-12am,96
1,102,12am-6am,96
1,103,6am-12pm,80
1,103,12pm-6pm,73
1,103,6pm-12am,85
1,103,12am-6am,51
1,104,6am-12pm,91
1,104,12pm-6pm,45
1,104,6pm-12am,36
1,104,12am-6am,52
1,105,6am-12pm,61
1,105,12pm-6pm,46
1,105,6pm-12am,94
1,105,12am-6am,42
1,106,6am-12pm,70
1,106,12pm-6pm,68
1,106,6pm-12am,38
1,106,12am-6am,96
1,107,6am-12pm,49
1,107,12pm-6pm,83
1,107,6pm-12am,50
1,107,12am-6am,96
1,108,6am-12pm,80
1,108,12pm-6pm,75
1,108,6pm-12am,68
1,108,12am-6am,53
1,109,6am-12pm,44
1,109,12pm-6pm,42
1,109,6pm-12am,83
1,109,12am-6am,42
1,110,6am-12pm,51
1,110,12pm-6pm,70
1,110,6pm-12am,42
1,110,12am-6am,39
1,111,6am-12pm,97
1,111,12pm-6pm,79
1,111,6pm-12am,82
1,111,12am-6am,39
1,112,6am-12pm,96
1,112,12pm-6pm,54
1,112,6pm-12am,77
1,112,12am-6am,54
1,113,6am-12pm,37
1,113,12pm-6pm,80
1,113,6pm-12am,80
1,113,12am-6am,40
1,114,6am-12pm,76
1,114,12pm-6pm,40
1,114,6pm-12am,64
1,114,12am-6am,36
1,115,6am-12pm,30
1,115,12pm-6pm,45
1,115,6pm-12am,98
1,115,12am-6am,92
1,116,6am-12pm,98
1,116,12pm-6pm,73
1,116,6pm-12am,58
1,116,12am-6am,87
1,117,6am-12pm,30
1,117,12pm-6pm,83
1,117,6pm-12am,80
1,117,12am-6am,61
1,118,6am-12pm,46
1,118,12pm-6pm,81
1,118,6pm-12am,99
1,118,12am-6am,34
1,119,6am-12pm,100
1,119,12pm-6pm,70
1,119,6pm-12am,47
1,119,12am-6am,87
1,120,6am-12pm,66
1,120,12pm-6pm,67
1,120,6pm-12am,91
1,120,12am-6am,61
1,121,6am-12pm,95
1,121,12pm-6pm,90
1,121,6pm-12am,60
1,121,12am-6am,100
1,122,6am-12pm,46
1,122,12pm-6pm,50
1,122,6pm-12am,60
1,122,12am-6am,38
1,123,6am-12pm,60
1,123,12pm-6pm,82
1,123,6pm-12am,46
1,123,12am-6am,35
1,124,6am-12pm,72
1,124,12pm-6pm,38
1,124,6pm-12am,93
1,124,12am-6am,86
1,125,6am-12pm,75
1,125,12pm-6pm,66
1,125,6pm-12am,53
1,125,12am-6am,51
1,126,6am-12pm,73
1,126,12pm-6pm,48
1,126,6pm-12am,99
1,126,12am-6am,56
1,127,6am-12pm,94
1,127,12pm-6pm,50
1,127,6pm-12am,32
1,127,12am-6am,47
1,128,6am-12pm,92
1,128,12pm-6pm,49
1,128,6pm-12am,43
1,128,12am-6am,92
1,129,6am-12pm,42
1,129,12pm-6pm,41
1,129,6pm-12am,71
1,129,12am-6am,94
