day,room_id,time_interval,energy_usage
1,101,6am-12pm,68
1,101,12pm-6pm,56
1,101,6pm-12am,53
1,101,12am-6am,82
1,102,6am-12pm,35
1,102,12pm-6pm,95
1,102,6pm-12am,100
1,102,12am-6am,35
1,103,6am-12pm,36
1,103,12pm-6pm,62
1,103,6pm-12am,38
1,103,12am-6am,49
1,104,6am-12pm,49
1,104,12pm-6pm,47
1,104,6pm-12am,61
1,104,12am-6am,61
1,105,6am-12pm,42
1,105,12pm-6pm,73
1,105,6pm-12am,95
1,105,12am-6am,86
1,106,6am-12pm,74
1,106,12pm-6pm,39
1,106,6pm-12am,66
1,106,12am-6am,93
1,107,6am-12pm,61
1,107,12pm-6pm,99
1,107,6pm-12am,50
1,107,12am-6am,30
1,108,6am-12pm,64
1,108,12pm-6pm,42
1,108,6pm-12am,70
1,108,12am-6am,68
1,109,6am-12pm,49
1,109,12pm-6pm,44
1,109,6pm-12am,48
1,109,12am-6am,63
1,110,6am-12pm,60
1,110,12pm-6pm,92
1,110,6pm-12am,64
1,110,12am-6am,30
1,111,6am-12pm,80
1,111,12pm-6pm,69
1,111,6pm-12am,35
1,111,12am-6am,100
1,112,6am-12pm,74
1,112,12pm-6pm,47
1,112,6pm-12am,42
1,112,12am-6am,98
1,113,6am-12pm,50
1,113,12pm-6pm,89
1,113,6pm-12am,41
1,113,12am-6am,89
1,114,6am-12pm,99
1,114,12pm-6pm,98
1,114,6pm-12am,67
1,114,12am-6am,37
1,115,6am-12pm,67
1,115,12pm-6pm,63
1,115,6pm-12am,70
1,115,12am-6am,55
1,116,6am-12pm,46
1,116,12pm-6pm,94
1,116,6pm-12am,41
1,116,12am-6am,50
1,117,6am-12pm,38
1,117,12pm-6pm,57
1,117,6pm-12am,79
1,117,12am-6am,50
1,118,6am-12pm,79
1,118,12pm-6pm,75
1,118,6pm-12am,87
1,118,12am-6am,77
1,119,6am-12pm,47
1,119,12pm-6pm,31
1,119,6pm-12am,58
1,119,12am-6am,54
1,120,6am-12pm,61
1,120,12pm-6pm,79
1,120,6pm-12am,66
1,120,12am-6am,61
1,121,6am-12pm,88
1,121,12pm-6pm,41
1,121,6pm-12am,90
1,121,12am-6am,71
1,122,6am-12pm,46
1,122,12pm-6pm,31
1,122,6pm-12am,60
1,122,12am-6am,95
1,123,6am-12pm,99
1,123,12pm-6pm,71
1,123,6pm-12am,32
1,123,12am-6am,56
1,124,6am-12pm,30
1,124,12pm-6pm,32
1,124,6pm-12am,58
1,124,12am-6am,67
1,125,6am-12pm,34
1,125,12pm-6pm,39
1,125,6pm-12am,44
1,125,12am-6am,95
1,126,6am-12pm,45
1,126,12pm-6pm,55
1,126,6pm-12am,95
1,126,12am-6am,49
1,127,6am-12pm,44
1,127,12pm-6pm,59
1,127,6pm-12am,88
1,127,12am-6am,79
1,128,6am-12pm,95
1,128,12pm-6pm,90
1,128,6pm-12am,69
1,128,12am-6am,38
1,129,6am-12pm,66
1,129,12pm-6pm,56
1,129,6pm-12am,56
1,129,12am-6am,91
1,130,6am-12pm,90
1,130,12pm-6pm,91
1,130,6pm-12am,59
1,130,12am-6am,88
1,131,6am-12pm,95
1,131,12pm-6pm,35
1,131,6pm-12am,85
1,131,12am-6am,49
1,132,6am-12pm,79
1,132,12pm-6pm,77
1,132,6pm-12am,97
1,132,12am-6am,55
1,133,6am-12pm,33
1,133,12pm-6pm,87
1,133,6pm-12am,75
1,133,12am-6am,75
1,134,6am-12pm,61
1,134,12pm-6pm,41
1,134,6pm-12am,61
1,134,12am-6am,46
1,135,6am-12pm,91
1,135,12pm-6pm,83
1,135,6pm-12am,44
1,135,12am-6am,82
1,136,6am-12pm,66
1,136,12pm-6pm,83
1,136,6pm-12am,38
1,136,12am-6am,84
1,137,6am-12pm,78
1,137,12pm-6pm,43
1,137,6pm-12am,78
1,137,12am-6am,73
1,138,6am-12pm,31
1,138,12pm-6pm,93
1,138,6pm-12am,38
1,138,12am-6am,37
1,139,6am-12pm,78
1,139,12pm-6pm,54
1,139,6pm-12am,84
1,139,12am-6am,91
1,140,6am-12pm,87
1,140,12pm-6pm,68
1,140,6pm-12am,48
1,140,12am-6am,69
1,141,6am-12pm,54
1,141,12pm-6pm,50
1,141,6pm-12am,96
1,141,12am-6am,47
1,142,6am-12pm,30
1,142,12pm-6pm,86
1,142,6pm-12am,58
1,142,12am-6am,99
1,143,6am-12pm,48
1,143,12pm-6pm,86
1,143,6pm-12am,92
1,143,12am-6am,81
1,144,6am-12pm,62
1,144,12pm-6pm,80
1,144,6pm-12am,52
1,144,12am-6am,35
1,145,6am-12pm,94
1,145,12pm-6pm,58
1,145,6pm-12am,37
1,145,12am-6am,58
1,146,6am-12pm,70
1,146,12pm-6pm,82
1,146,6pm-12am,87
1,146,12am-6am,76
1,147,6am-12pm,34
1,147,12pm-6pm,85
1,147,6pm-12am,90
1,147,12am-6am,87
1,148,6am-12pm,93
1,148,12pm-6pm,75
1,148,6pm-12am,58
1,148,12am-6am,75
1,149,6am-12pm,53
1,149,12pm-6pm,89
1,149,6pm-12am,99
1,149,12am-6am,37
1,150,6am-12pm,40
1,150,12pm-6pm,77
1,150,6pm-12am,54
1,150,12am-6am,69
1,151,6am-12pm,72
1,151,12pm-6pm,38
1,151,6pm-12am,79
1,151,12am-6am,80
1,152,6am-12pm,77
1,152,12pm-6pm,68
1,152,6pm-12am,73
1,152,12am-6am,33
1,153,6am-12pm,88
1,153,12pm-6pm,57
1,153,6pm-12am,85
1,153,12am-6am,66
1,154,6am-12pm,36
1,154,12pm-6pm,84
1,154,6pm-12am,38
1,154,12am-6am,51
1,155,6am-12pm,86
1,155,12pm-6pm,51
1,155,6pm-12am,82
1,155,12am-6am,41
1,156,6am-12pm,63
1,156,12pm-6pm,41
1,156,6pm-12am,42
1,156,12am-6am,98
1,157,6am-12pm,97
1,157,12pm-6pm,59
1,157,6pm-12am,54
1,157,12am-6am,67
1,158,6am-12pm,65
1,158,12pm-6pm,76
1,158,6pm-12am,84
1,158,12am-6am,94
1,159,6am-12pm,80
1,159,12pm-6pm,30
1,159,6pm-12am,54
1,159,12am-6am,52
1,160,6am-12pm,75
1,160,12pm-6pm,53
1,160,6pm-12am,48
1,160,12am-6am,86
1,161,6am-12pm,93
1,161,12pm-6pm,85
1,161,6pm-12am,62
1,161,12am-6am,38
1,162,6am-12pm,76
1,162,12pm-6pm,33
1,162,6pm-12am,59
1,162,12am-6am,31
1,163,6am-12pm,31
